"SAP Buchungskreis";"order number";"article number";"article name"
"M219";"190394263";"6571200";"HD 4646/00 WEISS"
"M312";"190104388";"2670375";"EP 5447/90"
"M003";"190480284";"2374414";"S 5270/06 AQUA TOUCH 50MIN/1H LZ"
"M310";"190101443";"2395848";"FC 6823/01 SPEEDPRO MAX 25,2 V ROT"
"M306";"190263154";"2229891";"FC 9331/09 POWER PRO COMPACT"
"S400";"190074963";"2643589";"HX 8261/01 AIRFLOSS + ZUBEHÖR"
"M260";"190197876";"2691428";"MG 7785/20 MULTIGROOM"
"M299";"190553323";"1884704";"HP 8280/00 MOISTURE PROTECT"
"M219";"190399668";"2161344";"HF 3531/01 WAKE-UP LIGHT, NACHTLICH"
"M050";"190484205";"2610028";"HTL 3310/10"
"S049";"190449515";"2609302";"70 PUS 6724/12"
"S055";"190456781";"2395804";"BG 3015/15 SERIES 3000"
"M227";"190426174";"2229899";"GC 7803/20 PERFECTCARE COMPACT 2400W"
"S042";"190338532";"2563810";"KAV-2000 ANTI VIBRATION DAMPERS"
"M174";"190402116";"2670374";"EP5441/50"
"S096";"190445981";"2299041";"HUE BEWEGUNGSMELDER DOPPELPACK"
"S042";"190338532";"2633122";"10004106 LITE-TASCHE(SW ANIMAL CROSSING-NEW HORIZO"
"S087";"190343691";"1804270";"HU 4803/01 SENSOR WEISS/GRAU"
"S027";"196837704";"2728699";"HX9992/12 SONICARE PRESTIGE MIDNIGHT BLUE"
"S216";"190418837";"2528076";"EP 3243/50 3200 LATTEGO W"
"S063";"190456400";"2583326";"GC 365/80 STEAM&GO PLUS 1300W"
"M183";"1552086";"2457169";"BG 7025/15 BODYGROOM SERIES 7000"
"M042";"190481976";"2457207";"GC 4549/00 AZUR 2500W GOLD"
"M072";"190456381";"2583349";"HC7650/15 SERIES 7000"
"M050";"190488996";"2551378";"SHB 4305 WT/00"
"M125";"190374101";"2312230";"HD 9652/90 AIRFRYER 1,4KG DIGITAL"
"M079";"190343482";"2457231";"FC 8782/09 PERFORMER SILENT 650W"
"M118";"190445191";"2457208";"GC 8930/10 PERFECTCARE EXPERT +/GRAU"
